;Longitude;Latitude;
75°33'38.684W,6°15'5.160N;-75.5607456;6.2514333;
75°33'37.409W,6°15'7.464N;-75.5603914;6.2520733;
75°33'34.628W,6°14'59.286N;-75.5596189;6.2498017;
75°33'31.384W,6°14'57.443N;-75.5587178;6.2492897;
75°33'27.908W,6°14'55.255N;-75.5577522;6.2486819;
75°33'26.517W,6°14'57.597N;-75.5573658;6.2493325;
75°33'32.233W,6°15'3.548N;-75.5589536;6.2509856;
75°33'25.011W,6°15'0.054N;-75.5569475;6.250015;
75°33'17.962W,6°14'59.036N;-75.5549894;6.2497322;
75°33'30.969W,6°15'5.459N;-75.5586025;6.2515164;
75°33'37.574W,6°15'27.163N;-75.5604372;6.2575453;
75°33'37.574W,6°15'27.163N;-75.5604372;6.2575453;
75°33'39.505W,6°15'28.584N;-75.5609736;6.25794;
75°33'41.320W,6°15'26.242N;-75.5614778;6.2572894;
75°22'28.124W,6°15'24.553N;-75.3744789;6.2568203;
75°33'42.093W,6°15'19.062N;-75.5616925;6.255295;
75°22'44.468W,6°15'21.097N;-75.3790189;6.2558603;
75°33'48.726W,6°15'48.011N;-75.563535;6.2633364;
75°33'51.198W,6°15'41.254N;-75.5642217;6.2614594;
75°33'52.743W,6°15'37.568N;-75.5646508;6.2604356;
75°33'54.172W,6°15'33.690N;-75.5650478;6.2593583;
75°33'55.949W,6°15'29.275N;-75.5655414;6.2581319;
75°33'57.185W,6°15'25.743N;-75.5658847;6.2571508;
